bar_time,signal,reason,prob,grade,sl,tp,rr,zone_quality,htf_4h_bias,in_session,session_id,in_demand,in_supply,rule_good_session,rule_buy_score,rule_sell_score
2026-05-18 23:00:00,NONE,Grade B skipped (zone_quality=3.29 prob=0.492),0.0,,,,,3.293,1.0,0,0,1,0,0,4.0,0.0
2026-05-18 23:15:00,BUY,buy Grade=C zone_quality=2.32 prob=0.462 rr=1.5,0.4619,C,4570.004,4611.6015,1.5,2.321,1.0,0,0,1,0,0,2.0,0.0
2026-05-19 00:30:00,BUY,buy Grade=C zone_quality=1.23 prob=0.382 rr=3.56,0.3821,C,4562.9024,4596.7709,3.56,1.226,1.0,0,0,1,1,0,2.0,1.0
2026-05-19 01:00:00,NONE,Grade B skipped (zone_quality=3.12 prob=0.497),0.0,,,,,3.118,1.0,0,0,1,1,0,3.0,1.0
2026-05-19 01:15:00,BUY,buy Grade=C zone_quality=2.22 prob=0.461 rr=1.5,0.4611,C,4530.2239,4599.2016,1.5,2.223,-1.0,0,0,1,1,0,1.0,4.0
2026-05-19 10:45:00,NONE,prob=0.178 < threshold=0.350,0.0,,,,,3.028,-1.0,1,1,1,0,1,3.0,2.0
2026-05-19 11:00:00,NONE,prob=0.330 < threshold=0.350,0.0,,,,,1.852,-1.0,1,1,1,1,1,2.0,3.0
2026-05-19 11:15:00,NONE,prob=0.209 < threshold=0.350,0.0,,,,,2.269,-1.0,1,1,1,1,1,3.0,3.0
2026-05-19 11:30:00,SELL,sell Grade=C zone_quality=0.71 prob=0.400 rr=1.87,0.3996,C,4552.6082,4509.579,1.87,0.709,-1.0,1,1,0,1,1,1.0,3.0
2026-05-19 13:15:00,NONE,prob=0.198 < threshold=0.350,0.0,,,,,3.519,-1.0,1,2,0,1,0,0.0,4.0
2026-05-19 13:30:00,SELL,sell Grade=C zone_quality=2.69 prob=0.548 rr=2.17,0.5477,C,4504.3085,4429.246,2.17,2.694,-1.0,1,2,0,1,0,0.0,4.0
2026-05-19 14:00:00,NONE,prob=0.258 < threshold=0.350,0.0,,,,,1.52,-1.0,1,2,1,1,0,1.0,3.0
2026-05-19 14:15:00,NONE,not in zone,0.0,,,,,0.0,-1.0,1,2,0,0,0,0.0,1.0
2026-05-19 14:30:00,NONE,SL/TP computation failed (missing zone levels or RR<1.5),0.0,,,,,1.945,-1.0,1,2,0,1,0,0.0,3.0
2026-05-19 14:45:00,SELL,sell Grade=C zone_quality=2.00 prob=0.553 rr=1.5,0.5534,C,4534.9628,4414.0233,1.5,1.996,-1.0,1,2,0,1,0,0.0,2.0
