bar_time,signal,reason,prob,grade,sl,tp,rr,zone_quality,htf_4h_bias,in_session,session_id,in_demand,in_supply,rule_good_session,rule_buy_score,rule_sell_score
2026-05-17 22:15:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.261,-1.0,0,0,1,0,0,1.0,1.0
2026-05-17 22:30:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,2.197,-1.0,0,0,1,1,0,2.0,2.0
2026-05-17 22:45:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.035,-1.0,0,0,1,1,0,1.0,3.0
2026-05-17 23:00:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.222,-1.0,0,0,1,0,0,1.0,1.0
2026-05-17 23:15:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.274,-1.0,0,0,1,1,0,1.0,2.0
2026-05-17 23:30:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.296,-1.0,0,0,1,1,0,1.0,2.0
2026-05-17 23:45:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.269,-1.0,0,0,1,1,0,2.0,2.0
2026-05-18 00:00:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.544,-1.0,0,0,1,1,0,1.0,4.0
2026-05-18 00:15:00,SELL,sell Grade=C zone_quality=2.24 prob=0.648 rr=1.51,0.6482,C,4548.2096,4494.0443,1.51,2.235,-1.0,0,0,0,1,0,0.0,2.0
2026-05-18 00:30:00,NONE,prob=0.209 < threshold=0.350,0.0,,,,,3.566,-1.0,0,0,0,1,0,0.0,4.0
2026-05-18 00:45:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,2.38,-1.0,0,0,1,1,0,2.0,2.0
2026-05-18 01:00:00,SELL,sell Grade=C zone_quality=2.75 prob=0.393 rr=1.9,0.3926,C,4525.5387,4436.7021,1.9,2.753,-1.0,0,0,0,1,0,0.0,3.0
2026-05-18 01:45:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,3.039,-1.0,0,0,1,1,0,3.0,2.0
2026-05-18 02:00:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.398,-1.0,0,0,1,1,0,1.0,3.0
2026-05-18 02:15:00,NONE,between zones,0.0,,,,,1.509,-1.0,0,0,1,0,0,2.0,1.0
2026-05-18 02:30:00,NONE,between zones,0.0,,,,,1.03,-1.0,0,0,1,1,0,2.0,2.0
2026-05-18 02:45:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.035,-1.0,0,0,1,0,0,1.0,2.0
2026-05-18 03:00:00,NONE,SL/TP computation failed (missing zone levels or RR<1.5),0.0,,,,,1.519,-1.0,0,0,0,1,0,0.0,2.0
2026-05-18 03:15:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.108,-1.0,0,0,1,1,0,1.0,2.0
2026-05-18 03:30:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.093,-1.0,0,0,1,0,0,2.0,1.0
2026-05-18 03:45:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,2.044,-1.0,0,0,1,0,0,1.0,1.0
2026-05-18 04:00:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.581,-1.0,0,0,1,0,0,1.0,2.0
2026-05-18 04:15:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.639,-1.0,0,0,1,0,0,1.0,1.0
2026-05-18 04:30:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.587,-1.0,0,0,1,1,0,1.0,2.0
2026-05-18 04:45:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.63,-1.0,0,0,1,1,0,2.0,2.0
2026-05-18 05:00:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.141,-1.0,0,0,1,1,0,1.0,2.0
2026-05-18 05:15:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.62,-1.0,0,0,1,0,0,1.0,1.0
2026-05-18 05:30:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.616,-1.0,0,0,1,0,0,2.0,1.0
2026-05-18 05:45:00,NONE,between zones,0.0,,,,,1.159,-1.0,0,0,1,1,0,1.0,2.0
2026-05-18 06:00:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.144,-1.0,0,0,1,1,0,1.0,2.0
2026-05-18 06:15:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.179,-1.0,0,0,1,1,0,1.0,2.0
2026-05-18 06:30:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.633,-1.0,0,0,1,0,0,1.0,1.0
2026-05-18 06:45:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.681,-1.0,0,0,1,1,0,1.0,2.0
