ticket,symbol,direction,grade,open_time,close_time,entry_price,exit_price,sl,tp,rr,lots,pnl,outcome,close_reason,prob,zone_quality,htf_4h_bias,in_session,session_id,rule_good_session,rule_buy_score,rule_sell_score,balance_before,balance_after
2745445818,XAUUSDm,sell,C,2026-05-14 20:15:00,2026-05-15 00:31:23,4648.16,4660.573,4660.57262,4628.76426,1.56,0.01,-12.13,loss,SL,0.6653,1.563,-1.0,0,0,0,0.0,3.0,50.71,38.58
2745781661,XAUUSDm,sell,C,2026-05-15 00:00:00,2026-05-15 02:35:39,4648.133,4622.652,4661.85278,4622.65231,1.86,0.01,25.64,win,TP,0.7115,1.342,-1.0,0,0,0,0.0,2.0,38.58,64.22
2745873680,XAUUSDm,sell,C,2026-05-15 00:30:00,2026-05-15 07:11:03,4623.81,4590.981,4636.10448,4590.98112,2.67,0.01,32.83,win,TP,0.896,2.585,-1.0,0,0,0,0.0,4.0,64.22,97.05
