timestamp,symbol,reason,h4_bias,zone_tapped,active_zone
2026-06-04T21:14:48.508160+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15â€“25315.39 str=2.3 bar=75 tappedÃ—1)
2026-06-04T21:16:20.055204+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15–25315.39 str=2.3 bar=75 tapped×1)
2026-06-04T21:16:57.129150+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15–25315.39 str=2.3 bar=75 tapped×1)
2026-06-04T21:30:03.271063+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15–25315.39 str=2.3 bar=75 tapped×1)
2026-06-04T21:45:03.312610+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15–25315.39 str=2.3 bar=75 tapped×1)
2026-06-04T22:00:03.362158+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15–25315.39 str=2.3 bar=75 tapped×1)
2026-06-04T22:15:03.399576+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15–25315.39 str=2.3 bar=75 tapped×1)
2026-06-04T22:30:03.433964+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15–25315.39 str=2.3 bar=75 tapped×1)
2026-06-04T22:45:03.467166+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15–25315.39 str=2.3 bar=75 tapped×1)
2026-06-04T23:00:03.500217+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15–25315.39 str=2.3 bar=75 tapped×1)
2026-06-04T23:15:03.538240+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15–25315.39 str=2.3 bar=75 tapped×1)
2026-06-04T23:30:03.572954+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15–25315.39 str=2.3 bar=75 tapped×1)
2026-06-04T23:45:03.607839+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15–25315.39 str=2.3 bar=75 tapped×1)
2026-06-05T00:00:03.639224+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15–25315.39 str=2.3 bar=75 tapped×1)
2026-06-05T00:15:03.677279+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15–25315.39 str=2.3 bar=75 tapped×1)
2026-06-05T00:30:03.712727+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15–25315.39 str=2.3 bar=75 tapped×1)
2026-06-05T00:45:03.746138+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15–25315.39 str=2.3 bar=75 tapped×1)
2026-06-05T01:00:03.781981+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15–25315.39 str=2.3 bar=75 tapped×1)
2026-06-05T01:15:03.820672+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15–25315.39 str=2.3 bar=75 tapped×1)
2026-06-05T01:30:03.858629+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15–25315.39 str=2.3 bar=75 tapped×1)
2026-06-05T01:45:03.888582+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15–25315.39 str=2.3 bar=75 tapped×1)
2026-06-05T02:00:03.926066+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15–25315.39 str=2.3 bar=75 tapped×1)
2026-06-05T02:15:03.959828+00:00,USTECH,conf_failed: [],bearish,True,Zone(supply 25217.15–25315.39 str=2.3 bar=75 tapped×1)
