ticket,symbol,direction,grade,open_time,close_time,entry_price,exit_price,sl,tp,rr,lots,pnl,outcome,close_reason,prob,zone_quality,htf_4h_bias,in_session,session_id,rule_good_session,rule_buy_score,rule_sell_score,balance_before,balance_after
2755552802,XAUUSDm,buy,C,2026-05-18 15:30:00,2026-05-19 01:04:58,4540.043,4581.123,4518.1613,4581.12318,1.88,0.01,40.39,win,TP,0.605,1.601,-1.0,0,0,0,1.0,2.0,156.28,196.67
2756835988,XAUUSDm,buy,C,2026-05-18 23:15:00,2026-05-19 02:28:50,4586.643,4570.004,4570.00398,4611.60152,1.5,0.01,-16.95,loss,SL,0.4619,2.321,1.0,0,0,0,2.0,0.0,196.67,179.72
2756944780,XAUUSDm,buy,C,2026-05-19 00:30:00,2026-05-19 02:59:39,4570.325,4562.902,4562.90236,4596.77086,3.56,0.01,-8.06,loss,SL,0.3821,1.226,1.0,0,0,0,2.0,1.0,179.72,171.66
2757007525,XAUUSDm,buy,C,2026-05-19 01:15:00,2026-05-19 12:43:41,4557.815,4530.224,4530.2239,4599.20164,1.5,0.01,-27.63,loss,SL,0.4611,2.223,-1.0,0,0,0,1.0,4.0,171.66,144.03
2758735118,XAUUSDm,sell,C,2026-05-19 11:30:00,2026-05-19 15:23:28,4537.606,4509.579,4552.60816,4509.57903,1.87,0.01,28.17,win,TP,0.3996,0.709,-1.0,1,1,1,1.0,3.0,144.03,172.2
2759489814,XAUUSDm,sell,C,2026-05-19 13:30:00,2026-05-19 15:54:52,4480.663,4504.309,4504.30851,4429.24595,2.17,0.01,-23.02,loss,SL,0.5477,2.694,-1.0,1,2,0,0.0,4.0,172.2,149.18
