timestamp,symbol,reason,h4_bias,zone_tapped,active_zone
2026-06-15T09:46:09.688557+00:00,USTECm,setup_invalid: signal 30253.9400 below demand bottom 30302.2200 — price exited zone,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=92 tapped×1)
2026-06-15T09:47:29.126897+00:00,USTECm,setup_invalid: signal 30253.9400 below demand bottom 30302.2200 — price exited zone,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=92 tapped×1)
2026-06-15T10:30:03.239492+00:00,USTECm,setup_invalid: RR 1.39 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=92 tapped×1)
2026-06-15T10:30:03.814954+00:00,USTECm,setup_invalid: RR 1.39 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=92 tapped×1)
2026-06-15T10:45:03.279380+00:00,USTECm,conf_failed: [],bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=92 tapped×1)
2026-06-15T10:45:03.842341+00:00,USTECm,conf_failed: [],bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=92 tapped×1)
2026-06-15T10:50:21.728772+00:00,USTECm,conf_failed: [],bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=92 tapped×1)
2026-06-15T11:00:03.794094+00:00,USTECm,conf_failed: [],bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=92 tapped×1)
2026-06-15T11:00:03.869204+00:00,USTECm,conf_failed: [],bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=92 tapped×1)
2026-06-15T11:15:03.864716+00:00,USTECm,setup_invalid: RR 0.64 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=92 tapped×1)
2026-06-15T11:15:03.904363+00:00,USTECm,setup_invalid: RR 0.64 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=92 tapped×1)
2026-06-15T11:30:03.915915+00:00,USTECm,setup_invalid: RR 0.36 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=92 tapped×1)
2026-06-15T11:30:03.943398+00:00,USTECm,setup_invalid: RR 0.36 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=92 tapped×1)
2026-06-15T11:45:03.982277+00:00,USTECm,setup_invalid: RR 1.05 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=92 tapped×1)
2026-06-15T11:45:03.968107+00:00,USTECm,setup_invalid: RR 1.05 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=92 tapped×1)
2026-06-15T12:00:03.015269+00:00,USTECm,setup_invalid: RR 0.57 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=91 tapped×1)
2026-06-15T12:00:03.019308+00:00,USTECm,setup_invalid: RR 0.57 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=91 tapped×1)
2026-06-15T12:15:03.046026+00:00,USTECm,setup_invalid: RR 0.60 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=91 tapped×1)
2026-06-15T12:15:03.056583+00:00,USTECm,setup_invalid: RR 0.60 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=91 tapped×1)
2026-06-15T12:30:03.098400+00:00,USTECm,setup_invalid: RR 1.28 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=91 tapped×1)
2026-06-15T12:30:03.105919+00:00,USTECm,setup_invalid: RR 1.28 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=91 tapped×1)
2026-06-15T13:00:03.152912+00:00,USTECm,setup_invalid: RR 0.96 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=91 tapped×1)
2026-06-15T13:00:03.178530+00:00,USTECm,setup_invalid: RR 0.96 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=91 tapped×1)
2026-06-15T13:15:03.183598+00:00,USTECm,setup_invalid: RR 0.53 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=91 tapped×1)
2026-06-15T13:15:03.232417+00:00,USTECm,setup_invalid: RR 0.53 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=91 tapped×1)
2026-06-15T13:30:03.224608+00:00,USTECm,setup_invalid: RR 0.14 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=91 tapped×1)
2026-06-15T13:30:03.271814+00:00,USTECm,setup_invalid: RR 0.14 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=91 tapped×1)
2026-06-15T13:45:03.260642+00:00,USTECm,setup_invalid: RR 0.02 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=91 tapped×1)
2026-06-15T13:45:03.319564+00:00,USTECm,setup_invalid: RR 0.02 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=91 tapped×1)
2026-06-15T14:00:03.321967+00:00,USTECm,setup_invalid: RR 0.02 below min 1.5,bullish,True,Zone(demand 30302.22–30453.55 str=2.5 bar=91 tapped×1)
