timestamp,open,high,low,close,volume,hour,day_of_week,month,session_id
2022-01-02 21:00:00+00:00,1830.615,1831.73,1828.021,1828.453,1680.0,23,6,1,0
2022-01-02 22:00:00+00:00,1828.422,1830.822,1826.983,1830.207,2427.0,0,0,1,0
2022-01-02 23:00:00+00:00,1830.176,1831.542,1827.596,1828.788,2632.0,1,0,1,0
2022-01-03 00:00:00+00:00,1828.796,1828.858,1825.489,1826.123,2075.0,2,0,1,0
2022-01-03 01:00:00+00:00,1826.154,1826.846,1824.204,1825.685,1869.0,3,0,1,0
2022-01-03 02:00:00+00:00,1825.689,1825.952,1824.58,1825.146,1084.0,4,0,1,0
2022-01-03 03:00:00+00:00,1825.149,1825.704,1823.701,1825.416,1508.0,5,0,1,0
2022-01-03 04:00:00+00:00,1825.413,1825.715,1823.699,1825.307,1717.0,6,0,1,0
2022-01-03 05:00:00+00:00,1825.338,1825.369,1820.826,1824.004,2931.0,7,0,1,0
2022-01-03 06:00:00+00:00,1823.973,1824.364,1821.356,1822.862,2742.0,8,0,1,0
2022-01-03 07:00:00+00:00,1822.893,1826.614,1822.449,1826.408,2714.0,9,0,1,0
2022-01-03 08:00:00+00:00,1826.438,1827.457,1825.528,1826.44,2142.0,10,0,1,1
2022-01-03 09:00:00+00:00,1826.419,1827.037,1822.282,1822.834,2358.0,11,0,1,1
2022-01-03 10:00:00+00:00,1822.849,1823.183,1821.278,1821.562,2671.0,12,0,1,1
2022-01-03 11:00:00+00:00,1821.527,1821.98,1805.691,1806.799,10774.0,13,0,1,2
2022-01-03 12:00:00+00:00,1806.762,1810.839,1802.778,1802.839,8711.0,14,0,1,2
2022-01-03 13:00:00+00:00,1802.87,1806.476,1799.762,1801.842,8399.0,15,0,1,3
2022-01-03 14:00:00+00:00,1801.811,1801.917,1798.304,1800.768,5284.0,16,0,1,3
2022-01-03 15:00:00+00:00,1800.806,1800.905,1798.778,1799.574,3271.0,17,0,1,0
2022-01-03 16:00:00+00:00,1799.543,1802.166,1799.032,1801.658,3008.0,18,0,1,0
2022-01-03 17:00:00+00:00,1801.688,1802.949,1801.035,1801.66,2254.0,19,0,1,0
2022-01-03 18:00:00+00:00,1801.652,1804.517,1801.129,1801.831,2718.0,20,0,1,0
2022-01-03 19:00:00+00:00,1801.801,1802.244,1800.931,1801.227,1414.0,21,0,1,0
2022-01-03 21:00:00+00:00,1802.262,1804.263,1802.226,1804.101,1366.0,23,0,1,0
2022-01-03 22:00:00+00:00,1804.127,1804.855,1802.902,1804.344,2014.0,0,1,1,0
2022-01-03 23:00:00+00:00,1804.375,1806.756,1803.195,1805.134,4153.0,1,1,1,0
2022-01-04 00:00:00+00:00,1805.145,1807.045,1804.658,1805.352,2615.0,2,1,1,0
2022-01-04 01:00:00+00:00,1805.358,1806.13,1803.78,1804.171,2383.0,3,1,1,0
2022-01-04 02:00:00+00:00,1804.182,1804.235,1803.133,1803.44,1826.0,4,1,1,0
2022-01-04 03:00:00+00:00,1803.407,1805.462,1803.222,1805.407,1937.0,5,1,1,0
2022-01-04 04:00:00+00:00,1805.379,1806.006,1803.418,1803.486,2634.0,6,1,1,0
2022-01-04 05:00:00+00:00,1803.478,1807.354,1803.227,1805.807,3407.0,7,1,1,0
2022-01-04 06:00:00+00:00,1805.839,1806.791,1803.321,1803.96,3726.0,8,1,1,0
2022-01-04 07:00:00+00:00,1803.929,1806.657,1801.898,1805.744,3309.0,9,1,1,0
2022-01-04 08:00:00+00:00,1805.775,1808.535,1805.299,1805.617,2928.0,10,1,1,1
2022-01-04 09:00:00+00:00,1805.621,1805.621,1802.357,1803.948,3107.0,11,1,1,1
2022-01-04 10:00:00+00:00,1803.944,1805.008,1798.452,1801.178,4773.0,12,1,1,1
2022-01-04 11:00:00+00:00,1801.139,1807.259,1799.715,1807.151,6539.0,13,1,1,2
2022-01-04 12:00:00+00:00,1807.16,1812.201,1806.262,1811.77,8094.0,14,1,1,2
2022-01-04 13:00:00+00:00,1811.724,1816.68,1807.514,1814.601,8125.0,15,1,1,3
2022-01-04 14:00:00+00:00,1814.631,1815.537,1811.62,1812.548,4818.0,16,1,1,3
2022-01-04 15:00:00+00:00,1812.578,1815.029,1811.824,1813.555,3015.0,17,1,1,0
2022-01-04 16:00:00+00:00,1813.566,1815.122,1813.438,1815.092,2905.0,18,1,1,0
2022-01-04 17:00:00+00:00,1815.062,1815.203,1813.723,1814.502,2090.0,19,1,1,0
2022-01-04 18:00:00+00:00,1814.469,1815.365,1813.377,1815.12,2057.0,20,1,1,0
2022-01-04 19:00:00+00:00,1815.121,1815.336,1814.095,1814.463,1320.0,21,1,1,0
2022-01-04 21:00:00+00:00,1814.316,1814.324,1813.032,1813.873,1144.0,23,1,1,0
2022-01-04 22:00:00+00:00,1813.885,1814.592,1812.744,1812.877,1792.0,0,2,1,0
2022-01-04 23:00:00+00:00,1812.889,1815.343,1812.714,1815.163,2394.0,1,2,1,0
2022-01-05 00:00:00+00:00,1815.194,1816.152,1814.109,1815.537,2316.0,2,2,1,0
2022-01-05 01:00:00+00:00,1815.542,1816.448,1814.348,1815.366,1845.0,3,2,1,0
2022-01-05 02:00:00+00:00,1815.336,1815.366,1814.604,1814.9,1193.0,4,2,1,0
2022-01-05 03:00:00+00:00,1814.881,1816.176,1814.259,1815.748,2031.0,5,2,1,0
2022-01-05 04:00:00+00:00,1815.717,1817.006,1812.685,1813.073,2452.0,6,2,1,0
2022-01-05 05:00:00+00:00,1813.077,1815.487,1812.31,1813.429,2775.0,7,2,1,0
2022-01-05 06:00:00+00:00,1813.436,1817.559,1813.313,1816.752,3253.0,8,2,1,0
2022-01-05 07:00:00+00:00,1816.722,1820.075,1816.28,1817.639,2948.0,9,2,1,0
2022-01-05 08:00:00+00:00,1817.624,1819.938,1817.624,1818.338,2489.0,10,2,1,1
2022-01-05 09:00:00+00:00,1818.371,1820.697,1817.734,1818.639,2636.0,11,2,1,1
2022-01-05 10:00:00+00:00,1818.671,1819.169,1816.95,1817.888,2831.0,12,2,1,1
2022-01-05 11:00:00+00:00,1817.92,1827.732,1814.719,1825.535,8971.0,13,2,1,2
2022-01-05 12:00:00+00:00,1825.565,1829.591,1825.13,1825.593,5918.0,14,2,1,2
2022-01-05 13:00:00+00:00,1825.623,1826.53,1820.335,1823.237,5678.0,15,2,1,3
2022-01-05 14:00:00+00:00,1823.268,1825.356,1822.398,1823.952,3974.0,16,2,1,3
2022-01-05 15:00:00+00:00,1823.985,1825.576,1822.521,1822.749,2784.0,17,2,1,0
2022-01-05 16:00:00+00:00,1822.78,1824.875,1822.611,1823.8,2318.0,18,2,1,0
2022-01-05 17:00:00+00:00,1823.809,1824.401,1812.416,1812.933,10427.0,19,2,1,0
2022-01-05 18:00:00+00:00,1812.903,1814.181,1808.259,1809.623,5306.0,20,2,1,0
2022-01-05 19:00:00+00:00,1809.591,1810.826,1808.818,1810.293,1993.0,21,2,1,0
2022-01-05 21:00:00+00:00,1810.686,1811.399,1809.895,1810.306,1433.0,23,2,1,0
2022-01-05 22:00:00+00:00,1810.339,1810.348,1807.754,1809.153,2189.0,0,3,1,0
2022-01-05 23:00:00+00:00,1809.185,1811.475,1807.064,1810.172,3714.0,1,3,1,0
2022-01-06 00:00:00+00:00,1810.19,1810.19,1808.097,1809.159,3022.0,2,3,1,0
2022-01-06 01:00:00+00:00,1809.129,1809.304,1806.521,1806.968,2596.0,3,3,1,0
2022-01-06 02:00:00+00:00,1806.972,1807.031,1805.248,1805.649,2298.0,4,3,1,0
2022-01-06 03:00:00+00:00,1805.679,1807.484,1802.981,1802.981,3464.0,5,3,1,0
2022-01-06 04:00:00+00:00,1802.968,1803.758,1799.019,1801.956,3548.0,6,3,1,0
2022-01-06 05:00:00+00:00,1801.922,1803.649,1799.43,1800.908,4663.0,7,3,1,0
