timestamp,open,high,low,close,volume,hour,day_of_week,month,session_id
2022-02-08 21:15:00+00:00,1826.139,1826.178,1825.772,1826.12,240.0,23,1,2,0
2022-02-08 21:30:00+00:00,1826.114,1826.197,1825.852,1826.058,217.0,23,1,2,0
2022-02-08 21:45:00+00:00,1826.053,1826.193,1826.051,1826.134,27.0,23,1,2,0
2022-02-08 23:00:00+00:00,1825.759,1826.744,1825.534,1826.236,485.0,1,2,2,0
2022-02-08 23:15:00+00:00,1826.239,1826.333,1825.342,1825.453,504.0,1,2,2,0
2022-02-08 23:30:00+00:00,1825.455,1826.499,1825.455,1826.378,530.0,1,2,2,0
2022-02-08 23:45:00+00:00,1826.409,1826.728,1825.593,1826.723,594.0,1,2,2,0
2022-02-09 00:00:00+00:00,1826.738,1827.497,1826.735,1827.101,556.0,2,2,2,0
2022-02-09 00:15:00+00:00,1827.087,1827.786,1826.45,1827.506,539.0,2,2,2,0
2022-02-09 00:30:00+00:00,1827.513,1828.143,1827.181,1827.2,684.0,2,2,2,0
2022-02-09 00:45:00+00:00,1827.198,1827.581,1826.417,1827.518,736.0,2,2,2,0
2022-02-09 01:00:00+00:00,1827.524,1828.616,1827.524,1827.834,610.0,3,2,2,0
2022-02-09 01:15:00+00:00,1827.829,1828.653,1827.829,1828.34,504.0,3,2,2,0
2022-02-09 01:30:00+00:00,1828.335,1828.624,1827.6,1827.75,495.0,3,2,2,0
2022-02-09 01:45:00+00:00,1827.754,1828.29,1827.754,1828.038,386.0,3,2,2,0
2022-02-09 02:00:00+00:00,1828.072,1828.438,1827.991,1828.01,337.0,4,2,2,0
2022-02-09 02:15:00+00:00,1828.011,1828.026,1827.197,1827.332,428.0,4,2,2,0
2022-02-09 02:30:00+00:00,1827.334,1827.804,1827.326,1827.65,348.0,4,2,2,0
2022-02-09 02:45:00+00:00,1827.645,1827.798,1827.211,1827.243,367.0,4,2,2,0
2022-02-09 03:00:00+00:00,1827.245,1827.485,1827.124,1827.419,332.0,5,2,2,0
2022-02-09 03:15:00+00:00,1827.421,1828.091,1827.421,1827.911,363.0,5,2,2,0
2022-02-09 03:30:00+00:00,1827.9,1828.515,1827.628,1828.339,523.0,5,2,2,0
2022-02-09 03:45:00+00:00,1828.33,1829.05,1827.345,1827.385,623.0,5,2,2,0
2022-02-09 04:00:00+00:00,1827.384,1827.934,1826.833,1827.339,668.0,6,2,2,0
2022-02-09 04:15:00+00:00,1827.354,1828.112,1826.542,1826.564,686.0,6,2,2,0
2022-02-09 04:30:00+00:00,1826.566,1827.509,1826.402,1827.282,581.0,6,2,2,0
2022-02-09 04:45:00+00:00,1827.284,1827.689,1826.698,1827.426,672.0,6,2,2,0
2022-02-09 05:00:00+00:00,1827.423,1828.138,1827.08,1827.255,755.0,7,2,2,0
2022-02-09 05:15:00+00:00,1827.285,1827.485,1826.699,1826.838,698.0,7,2,2,0
2022-02-09 05:30:00+00:00,1826.846,1826.867,1825.647,1825.802,751.0,7,2,2,0
2022-02-09 05:45:00+00:00,1825.781,1826.783,1825.675,1826.692,764.0,7,2,2,0
2022-02-09 06:00:00+00:00,1826.662,1828.019,1826.307,1826.888,891.0,8,2,2,0
2022-02-09 06:15:00+00:00,1826.866,1827.633,1826.266,1827.199,804.0,8,2,2,0
2022-02-09 06:30:00+00:00,1827.203,1827.661,1826.434,1827.661,695.0,8,2,2,0
2022-02-09 06:45:00+00:00,1827.693,1827.771,1826.19,1826.401,713.0,8,2,2,0
2022-02-09 07:00:00+00:00,1826.37,1827.177,1826.125,1826.985,596.0,9,2,2,0
2022-02-09 07:15:00+00:00,1826.986,1827.587,1826.66,1827.429,570.0,9,2,2,0
2022-02-09 07:30:00+00:00,1827.421,1827.495,1826.815,1827.197,601.0,9,2,2,0
2022-02-09 07:45:00+00:00,1827.193,1827.773,1827.05,1827.702,458.0,9,2,2,0
2022-02-09 08:00:00+00:00,1827.72,1828.329,1827.256,1827.261,580.0,10,2,2,1
2022-02-09 08:15:00+00:00,1827.254,1827.515,1826.912,1827.484,515.0,10,2,2,1
2022-02-09 08:30:00+00:00,1827.507,1828.06,1826.719,1826.941,589.0,10,2,2,1
2022-02-09 08:45:00+00:00,1826.939,1827.549,1826.779,1826.85,485.0,10,2,2,1
