timestamp,open,high,low,close,volume,hour,day_of_week,month,session_id,year,candle_size,body_size,wick_upper,wick_lower,demand_zone_top,demand_zone_bottom,demand_zone_strength,demand_zone_fresh,demand_zone_touches,demand_zone_consolidation,demand_zone_age_bars,supply_zone_top,supply_zone_bottom,supply_zone_strength,supply_zone_fresh,supply_zone_touches,supply_zone_consolidation,supply_zone_age_bars,nearest_demand_dist_atr,nearest_supply_dist_atr,in_demand_zone,in_supply_zone,between_zones,bullish_engulfing,bearish_engulfing,pin_bar_bullish,pin_bar_bearish,higher_low,lower_high,bos_bullish,bos_bearish,buy_confirmation_score,sell_confirmation_score,atr_14,rsi_14,ema_20,ema_50,ema_200,ema_spread_atr,price_above_ema20,price_above_ema50,price_above_ema200,ema_trend_bias,bb_position,bb_width_atr,volume_ratio,body_atr_ratio,momentum_5,momentum_10,htf_demand_zone_top,htf_demand_zone_bottom,htf_supply_zone_top,htf_supply_zone_bottom,htf_1h_bias,htf_4h_bias,htf_aligned,demand_zone_quality,supply_zone_quality,active_zone_quality,demand_freshness_score,supply_freshness_score,rule_valid_buy_setup,rule_valid_sell_setup,rule_htf_aligned_buy,rule_htf_aligned_sell,rule_htf_strong_buy,rule_htf_strong_sell,rule_fresh_zone,rule_fresh_demand,rule_fresh_supply,rule_confirmed_buy,rule_confirmed_sell,rule_good_session,rule_valid_hour,rule_zone_has_room,rule_buy_score,rule_sell_score,in_session,macro_trend_20,macro_trend_50,macro_momentum_20,macro_bull_pct_20,macro_hh_hl,macro_lh_ll,macro_adx_14,macro_trending,macro_price_vs_ema50,macro_price_vs_ema200,macro_ema_alignment,macro_atr_ratio,macro_swing_high_dist,macro_swing_low_dist,macro_range_pos_50
2022-02-16 02:00:00+00:00,1852.676,1856.753,1852.206,1855.174,9813.0,4,2,2,0.0,2022,4.5470000000000255,2.4980000000000473,1.5789999999999509,0.4700000000000273,1858.941,1832.715,2.370524102971763,0.0,5.0,0.6322668245833789,16.0,1877.137,1852.446,2.0558505410486916,0.0,5.0,0.6732497315362016,5.0,-0.4292479303561776,-0.3108543546619762,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,8.775814007709494,49.40877846995909,1852.9967336317904,1839.904143043577,1825.3381147068333,1.491894720730367,1.0,1.0,1.0,1.0,0.4977091967844801,6.3073082915446905,0.5576819797625036,0.2846459596574826,0.3108543546619762,-1.4841928040587136,,,,,0.0,0.0,0.0,2.1063716451777315,2.08441983974594,2.1063716451777315,0.37593984962406013,0.3921568627450981,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
2022-02-16 06:00:00+00:00,1855.178,1859.565,1853.96,1856.399,11716.0,8,2,2,0.0,2022,5.605000000000018,1.2209999999997763,3.1660000000001673,1.2180000000000746,1858.941,1832.715,2.370524102971763,0.0,6.0,0.6322668245833789,17.0,1877.137,1852.446,2.0558505410486916,0.0,6.0,0.6732497315362016,6.0,-0.30432038672761913,-0.47324094757443064,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,8.353038806681564,51.379321614127335,1853.3207590001914,1840.551000179123,1825.6471782420886,1.528756075076992,1.0,1.0,1.0,1.0,0.49116586815969276,5.742504388758429,0.6683056774038982,0.1461743478341203,1.0198683613423971,-1.3927865378398605,,,,,0.0,0.0,0.0,2.1063716451777315,2.08441983974594,2.1063716451777315,0.3367003367003367,0.3496503496503497,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.14090210898723848,0.14519397950161667,1.0,1.0,0.0,0.0,0.5
2022-02-16 10:00:00+00:00,1856.368,1864.625,1851.281,1862.667,22880.0,12,2,2,1.0,2022,13.344000000000051,6.298999999999978,1.9580000000000837,5.086999999999989,1858.941,1832.715,2.370524102971763,0.0,7.0,0.6322668245833789,18.0,,,,,,,,0.4131507319860923,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.01850029912403,60.469695531628844,1854.2108771906492,1841.418294289746,1826.015534677491,1.4184822838167168,1.0,1.0,1.0,1.0,0.6038250380398746,4.346416181834599,1.2674074648527083,0.698453156409143,0.9213283499926285,-0.9293119390165275,,,,,0.0,0.0,0.0,2.1063716451777315,1.0,2.1063716451777315,0.3048780487804878,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.7931475634108051,0.8212424205595474,1.0,1.0,0.0,0.0,0.5
2022-02-16 14:00:00+00:00,1862.636,1872.221,1861.418,1870.382,22124.0,16,2,2,3.0,2022,10.803000000000111,7.746000000000095,1.8389999999999418,1.2180000000000746,1868.199,1851.234,1.2221826913129596,0.0,3.0,0.6633025769595469,13.0,,,,,,,,0.23583597053526853,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,9.256433592574174,68.76386453600672,1855.7509841248732,1842.5541258862265,1826.4569920438842,1.4256957722068706,1.0,1.0,1.0,1.0,0.7944980808194302,3.6890656223682496,1.2396377012576236,0.8368233750646901,1.8817182477248509,-0.7589316046771575,,,,,0.0,0.0,0.0,1.8241287716882126,1.0,1.8241287716882126,0.4926108374384237,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.5432447617289238,1.6173522364531334,1.0,1.0,0.0,0.0,0.5
2022-02-16 18:00:00+00:00,1870.413,1872.512,1867.379,1869.906,8679.0,20,2,2,0.0,2022,5.133000000000038,0.5070000000000618,2.0989999999999327,2.5270000000000437,1868.199,1851.234,1.2221826913129596,0.0,4.0,0.6633025769595469,14.0,,,,,,,,0.19605720694412151,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.706642446897623,67.75185905066235,1857.0990808748852,1843.626748400492,1826.8893204812584,1.5473625518173968,1.0,1.0,1.0,1.0,0.7568406123952248,4.0390268007647565,0.5470601583379557,0.05823140241399457,1.975388343428326,-0.6578885069572465,,,,,0.0,0.0,0.0,1.8819952709946297,1.0,1.8819952709946297,0.4273504273504273,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.5238268450837542,1.6482456543160628,1.0,1.0,0.0,0.0,0.5
2022-02-16 22:00:00+00:00,1869.938,1874.653,1867.772,1874.372,12245.0,0,3,2,0.0,2022,6.8810000000000855,4.433999999999969,0.28099999999994907,2.1660000000001673,1874.372,1867.772,0.5239138519869596,1.0,0.0,0.42685352773159235,0.0,,,,,,,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,8.463223453977951,72.18367763166917,1858.7441207915626,1844.8324445416492,1827.3617849540817,1.6437798582967251,1.0,1.0,1.0,1.0,0.8429808685741699,4.384606038554894,0.7787805358925926,0.5239138519869596,2.2684028259913775,2.590738637498024,,,,,0.0,0.0,0.0,2.9215586507579907,1.0,2.9215586507579907,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,2.0131794375161625,2.2012245069306284,1.0,1.0,0.0,0.0,0.5
2022-02-17 02:00:00+00:00,1874.405,1877.138,1870.255,1876.097,19933.0,4,3,2,0.0,2022,6.882999999999811,1.6920000000000073,1.04099999999994,4.149999999999864,1874.372,1867.772,0.5239138519869596,0.0,1.0,0.42685352773159235,1.0,,,,,,,,0.2090268836890265,,1.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,8.252526993447534,73.78905890442692,1860.396775954271,1846.058505540016,1827.8467124669764,1.7374399896709867,1.0,1.0,1.0,1.0,0.8474668799633063,4.751716113367284,1.2077239072743358,0.20502810852281333,2.3869052492212637,3.4191951171324897,,,,,0.0,0.0,0.0,1.4315138147514992,1.0,1.4315138147514992,0.7633587786259541,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,2.1844441124803127,2.4419093692426523,1.0,1.0,0.0,0.0,0.5
2022-02-17 06:00:00+00:00,1876.062,1892.973,1875.31,1883.598,24734.0,8,3,2,0.0,2022,17.66300000000001,7.536000000000058,9.375,0.7519999999999527,1883.598,1875.31,0.7926576735936333,1.0,0.0,0.7674408019751169,0.0,,,,,,,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,9.50725672765453,79.67469625362976,1862.6064163395786,1847.5306425776625,1828.4014516464094,1.585712282078583,1.0,1.0,1.0,1.0,0.961989044266689,4.462441099737365,1.453910610420261,0.7926576735936333,2.201581444531348,3.0755454320432145,,,,,0.0,0.0,0.0,3.3618499109204887,1.0,3.3618499109204887,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,2.579827120637397,2.8796707932638412,1.0,1.0,0.0,0.0,0.5
2022-02-17 10:00:00+00:00,1883.593,1897.438,1882.752,1895.275,34347.0,12,3,2,1.0,2022,14.68600000000015,11.682000000000016,2.163000000000011,0.8410000000001219,1895.275,1882.752,1.1455461568227998,1.0,0.0,0.5534311592046708,0.0,,,,,,,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,10.197755830633946,85.51647571930222,1865.7177100215235,1849.402970319715,1829.0668600877386,1.5998362750360475,1.0,1.0,1.0,1.0,1.0876457696366741,4.877393448249174,1.8968749913708118,1.1455461568227998,2.441027262608282,4.149050114820201,,,,,0.0,0.0,0.0,3.3965480314651417,1.0,3.3965480314651417,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,3.410977035780839,3.7916346981624836,1.0,1.0,0.0,0.0,0.5
2022-02-17 14:00:00+00:00,1895.307,1900.989,1893.058,1899.854,19166.0,16,3,2,3.0,2022,7.93100000000004,4.5470000000000255,1.134999999999991,2.2490000000000236,1895.275,1882.752,1.1455461568227998,0.0,1.0,0.5534311592046708,1.0,,,,,,,,0.4627345712151297,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,9.895521719882758,87.18323813397112,1868.968785257569,1851.3814420718832,1829.771209738607,1.7773032775369566,1.0,1.0,1.0,1.0,1.0525070539854664,5.785988775129518,1.0505342837801914,0.4595007851747607,3.0264195105374307,4.764478451426059,,,,,0.0,0.0,0.0,1.9153013684385467,1.0,1.9153013684385467,0.7633587786259541,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,3.8218956788982164,4.326690993666801,1.0,1.0,0.0,0.0,0.5
