date,exit_date,side,entry,sl,tp,exit,outcome,lot,pnl,equity,pattern,tp_mode,zone_tf,zone_kind,zone_top,zone_bottom,zone_score
2024-01-02 15:45:00,2024-01-03 09:30:00,buy,2059.34,2056.06,2077.03,2056.06,-1,0.01,-3.27,146.73,pin_bar,zone,1H,support,2059.14,2058.12,3.0
2024-02-05 03:45:00,2024-02-05 08:00:00,buy,2032.21,2025.71,2053.61,2025.71,-1,0.01,-6.5,140.23,morning_star,zone,1H,support,2031.62,2027.74,3.0
2024-02-05 14:15:00,2024-02-06 01:00:00,buy,2017.31,2013.85,2027.74,2027.74,1,0.01,10.43,150.66,morning_star,zone,4H,support,2017.02,2015.87,4.0
2024-03-22 15:15:00,2024-03-22 17:15:00,buy,2169.4,2160.42,2184.88,2160.42,-1,0.01,-8.98,141.68,pin_bar,zone,1H,support,2168.4,2162.58,3.0
2024-04-08 01:00:00,2024-04-08 02:00:00,buy,2306.82,2299.93,2327.15,2327.15,1,0.01,20.33,162.01,pin_bar,zone,1H,support,2304.87,2302.23,3.0
2024-04-09 17:00:00,2024-04-10 12:30:00,buy,2344.28,2336.6,2363.18,2336.6,-1,0.01,-7.68,154.33,pin_bar,zone,1H,support,2342.0,2338.94,3.0
2024-07-19 13:30:00,2024-07-22 12:30:00,buy,2403.75,2388.97,2429.33,2388.97,-1,0.01,-14.78,139.55,engulfing,zone,1H,support,2397.86,2391.36,3.0
2024-08-20 16:00:00,2024-08-21 13:30:00,buy,2509.75,2500.54,2528.09,2500.54,-1,0.01,-9.21,130.34,pin_bar,fallback,1H,support,2507.18,2503.04,3.0
2024-08-22 14:15:00,2024-08-23 09:15:00,buy,2477.82,2470.38,2500.83,2500.83,1,0.01,23.01,153.35,pin_bar,zone,1H,support,2477.72,2472.86,3.0
2024-08-27 14:45:00,2024-08-27 15:15:00,sell,2514.8,2520.08,2483.71,2520.08,-1,0.01,-5.28,148.08,evening_star,zone,1H,resistance,2517.56,2514.9,3.0
2024-08-27 23:30:00,2024-08-28 05:00:00,sell,2525.18,2529.54,2509.88,2509.88,1,0.01,15.3,163.38,evening_star,zone,1H,resistance,2527.01,2526.47,3.0
2024-09-04 20:45:00,2024-09-05 06:00:00,sell,2495.24,2502.83,2483.71,2502.83,-1,0.01,-7.59,155.78,pin_bar,zone,1H,resistance,2500.33,2496.23,4.0
2024-09-27 09:30:00,2024-09-27 14:45:00,buy,2663.14,2652.06,2682.76,2652.06,-1,0.01,-11.08,144.7,engulfing,zone,1H,support,2660.87,2654.72,3.0
2024-10-11 12:30:00,2024-10-11 13:15:00,sell,2642.49,2649.85,2622.46,2649.85,-1,0.01,-7.36,137.35,evening_star,zone,1H,resistance,2647.2,2644.72,4.0
2024-10-23 13:15:00,2024-10-23 14:00:00,buy,2739.32,2726.71,2764.44,2726.71,-1,0.01,-12.62,124.73,pin_bar,fallback,1H,support,2731.98,2729.44,3.0
2024-10-25 15:30:00,2024-10-25 20:30:00,sell,2738.09,2745.95,2721.73,2745.95,-1,0.01,-7.87,116.86,engulfing,zone,1H,resistance,2743.21,2739.14,3.0
2024-10-31 14:00:00,2024-10-31 14:30:00,buy,2752.61,2743.44,2787.05,2743.44,-1,0.01,-9.17,107.7,pin_bar,zone,1H,support,2749.86,2746.19,3.0
2024-11-01 19:00:00,2024-11-05 02:30:00,buy,2736.54,2728.78,2754.96,2728.78,-1,0.01,-7.76,99.94,pin_bar,zone,1H,support,2734.75,2731.51,3.0
2024-11-17 23:45:00,2024-11-18 01:00:00,sell,2571.42,2578.65,2559.95,2578.65,-1,0.01,-7.23,92.71,evening_star,zone,1H,resistance,2576.07,2572.83,3.0
2024-11-19 00:30:00,2024-11-19 01:15:00,sell,2612.04,2617.7,2562.99,2617.7,-1,0.01,-5.66,87.05,pin_bar,zone,1H,resistance,2615.09,2612.97,3.0
2024-12-31 13:15:00,2025-01-02 01:15:00,buy,2613.78,2606.37,2632.97,2632.97,1,0.01,19.19,106.24,engulfing,zone,1H,support,2611.61,2608.97,3.0
2025-02-05 20:45:00,2025-02-06 07:45:00,buy,2862.56,2855.74,2876.32,2855.74,-1,0.01,-6.82,99.42,pin_bar,fallback,1H,support,2861.65,2858.6,3.0
2025-02-14 20:15:00,2025-02-18 13:30:00,buy,2882.2,2861.24,2919.72,2919.72,1,0.01,37.51,136.94,morning_star,zone,4H,support,2879.81,2864.1,4.0
2025-03-06 02:15:00,2025-03-06 09:00:00,sell,2923.43,2932.97,2899.88,2899.88,1,0.01,23.55,160.49,evening_star,zone,1H,resistance,2930.04,2923.84,3.0
2025-03-10 17:15:00,2025-03-10 17:30:00,buy,2894.98,2888.27,2911.28,2888.27,-1,0.01,-6.71,153.78,pin_bar,zone,1H,support,2894.34,2891.16,3.0
2025-04-08 11:15:00,2025-04-08 13:15:00,sell,3010.59,3021.59,2970.05,3021.59,-1,0.01,-10.99,142.78,pin_bar,zone,1H,resistance,3018.57,3013.2,3.0
2025-04-17 08:45:00,2025-04-17 13:45:00,buy,3324.23,3317.48,3351.03,3317.48,-1,0.01,-6.75,136.03,morning_star,zone,1H,support,3323.91,3320.8,3.0
2025-04-27 23:00:00,2025-04-28 01:30:00,sell,3308.8,3327.03,3281.29,3281.29,1,0.01,27.51,163.54,pin_bar,zone,1H,resistance,3323.71,3314.78,3.0
2025-05-05 01:30:00,2025-05-05 09:00:00,sell,3263.88,3284.06,3224.9,3284.06,-1,0.01,-20.17,143.37,pin_bar,zone,1H,resistance,3280.78,3268.07,3.0
