date,exit_date,side,entry,sl,tp,exit,outcome,lot,pnl,equity,pattern,tp_mode,zone_tf,zone_kind,zone_top,zone_bottom,zone_score
2024-01-02 15:45:00,2024-01-03 09:30:00,buy,2059.34,2056.06,2077.03,2056.06,-1,0.01,-3.27,146.73,pin_bar,zone,1H,support,2059.14,2058.12,3.0
2024-01-26 12:00:00,2024-01-26 15:00:00,sell,2023.44,2027.3,2017.45,2017.45,1,0.01,5.99,152.72,pin_bar,zone,1H,resistance,2025.27,2023.61,7.0
2024-01-28 23:00:00,2024-01-29 06:45:00,sell,2024.26,2028.85,2017.45,2028.85,-1,0.01,-4.59,148.14,pin_bar,zone,1H,resistance,2026.82,2024.61,3.0
2024-02-02 14:00:00,2024-02-05 09:15:00,buy,2031.6,2021.4,2053.61,2021.4,-1,0.01,-10.2,137.94,pin_bar,zone,1H,support,2028.61,2023.42,5.0
2024-02-29 08:00:00,2024-02-29 11:45:00,sell,2035.76,2039.93,2029.11,2029.11,1,0.01,6.66,144.59,evening_star,zone,1H,resistance,2037.9,2035.78,4.0
2024-03-07 07:45:00,2024-03-08 13:30:00,buy,2156.0,2144.99,2177.88,2177.88,1,0.01,21.88,166.47,pin_bar,fallback,1H,support,2152.23,2147.13,3.0
2024-03-22 00:00:00,2024-03-22 07:00:00,buy,2182.54,2169.76,2203.97,2169.76,-1,0.01,-12.78,153.7,morning_star,zone,1H,support,2181.95,2171.93,3.0
2024-03-22 15:15:00,2024-03-22 17:15:00,buy,2169.4,2160.42,2184.88,2160.42,-1,0.01,-8.98,144.71,pin_bar,zone,1H,support,2168.4,2162.58,3.0
2024-03-26 14:30:00,2024-03-26 15:00:00,buy,2183.36,2175.85,2203.97,2175.85,-1,0.01,-7.51,137.21,pin_bar,zone,1H,support,2180.06,2178.03,3.0
2024-04-08 01:00:00,2024-04-08 02:00:00,buy,2306.82,2299.93,2327.15,2327.15,1,0.01,20.33,157.54,pin_bar,zone,1H,support,2304.87,2302.23,3.0
2024-04-09 13:00:00,2024-04-09 15:45:00,buy,2352.51,2338.53,2380.57,2338.53,-1,0.01,-13.98,143.56,engulfing,fallback,1H,support,2348.51,2340.87,3.0
2024-04-09 17:00:00,2024-04-10 12:30:00,buy,2344.28,2336.6,2363.18,2336.6,-1,0.01,-7.68,135.88,pin_bar,zone,1H,support,2342.0,2338.94,3.0
2024-07-05 12:30:00,2024-07-08 15:45:00,buy,2372.88,2351.86,2442.2,2351.86,-1,0.01,-21.02,114.86,pin_bar,zone,1H,support,2357.03,2354.21,4.0
2024-07-19 13:30:00,2024-07-22 12:30:00,buy,2403.75,2388.97,2429.33,2388.97,-1,0.01,-14.78,100.08,engulfing,zone,1H,support,2397.86,2391.36,3.0
2024-08-05 09:30:00,2024-08-05 10:45:00,buy,2426.78,2411.35,2470.06,2411.35,-1,0.01,-15.43,84.65,engulfing,zone,1H,support,2422.12,2413.77,4.0
2024-08-08 01:00:00,2024-08-08 10:30:00,buy,2388.52,2379.02,2403.85,2403.85,1,0.01,15.33,99.98,engulfing,zone,1H,support,2387.54,2381.4,6.0
2024-08-20 16:00:00,2024-08-21 13:30:00,buy,2509.75,2500.54,2528.09,2500.54,-1,0.01,-9.21,90.77,pin_bar,fallback,1H,support,2507.18,2503.04,3.0
2024-08-22 14:15:00,2024-08-23 09:15:00,buy,2477.82,2470.38,2500.83,2500.83,1,0.01,23.01,113.79,pin_bar,zone,1H,support,2477.72,2472.86,3.0
2024-08-27 14:45:00,2024-08-27 15:15:00,sell,2514.8,2520.08,2483.71,2520.08,-1,0.01,-5.28,108.51,evening_star,zone,1H,resistance,2517.56,2514.9,3.0
2024-08-27 23:30:00,2024-08-28 05:00:00,sell,2525.18,2529.54,2509.88,2509.88,1,0.01,15.3,123.81,evening_star,zone,1H,resistance,2527.01,2526.47,3.0
2024-09-04 20:45:00,2024-09-05 06:00:00,sell,2495.24,2502.83,2483.71,2502.83,-1,0.01,-7.59,116.22,pin_bar,zone,1H,resistance,2500.33,2496.23,4.0
2024-09-05 06:30:00,2024-09-05 08:00:00,sell,2503.14,2508.75,2483.71,2508.75,-1,0.01,-5.61,110.61,engulfing,zone,1H,resistance,2506.25,2503.89,3.0
2024-09-06 11:15:00,2024-09-06 12:30:00,sell,2518.53,2524.39,2507.33,2524.39,-1,0.01,-5.86,104.75,pin_bar,zone,1H,resistance,2521.86,2520.14,3.0
2024-09-19 11:30:00,2024-09-19 12:30:00,buy,2587.82,2581.66,2600.28,2581.66,-1,0.01,-6.16,98.58,engulfing,fallback,1H,support,2586.96,2584.25,3.0
2024-09-27 09:30:00,2024-09-27 14:45:00,buy,2663.14,2652.06,2682.76,2652.06,-1,0.01,-11.08,87.51,engulfing,zone,1H,support,2660.87,2654.72,3.0
2024-10-11 12:30:00,2024-10-11 13:15:00,sell,2642.49,2649.85,2622.46,2649.85,-1,0.01,-7.36,80.15,evening_star,zone,1H,resistance,2647.2,2644.72,4.0
2024-10-23 13:15:00,2024-10-23 14:00:00,buy,2739.32,2726.71,2764.44,2726.71,-1,0.01,-12.62,67.53,pin_bar,fallback,1H,support,2731.98,2729.44,3.0
2024-10-25 15:30:00,2024-10-25 20:30:00,sell,2738.09,2745.95,2721.73,2745.95,-1,0.01,-7.87,59.67,engulfing,zone,1H,resistance,2743.21,2739.14,3.0
2024-10-31 14:00:00,2024-10-31 14:30:00,buy,2752.61,2743.44,2787.05,2743.44,-1,0.01,-9.17,50.5,pin_bar,zone,1H,support,2749.86,2746.19,3.0
2024-11-01 19:00:00,2024-11-05 02:30:00,buy,2736.54,2728.78,2754.96,2728.78,-1,0.01,-7.76,42.74,pin_bar,zone,1H,support,2734.75,2731.51,3.0
2024-11-12 12:30:00,2024-11-12 13:15:00,sell,2602.24,2615.55,2549.03,2615.55,-1,0.01,-13.32,29.42,pin_bar,zone,1H,resistance,2612.94,2604.69,3.0
2024-11-17 23:45:00,2024-11-18 01:00:00,sell,2571.42,2578.65,2559.95,2578.65,-1,0.01,-7.23,22.19,evening_star,zone,1H,resistance,2576.07,2572.83,3.0
2024-11-18 08:15:00,2024-11-18 13:30:00,sell,2587.22,2600.44,2562.99,2600.44,-1,0.01,-13.23,8.97,pin_bar,zone,4H,resistance,2597.84,2589.66,4.0
2024-11-19 00:30:00,2024-11-19 01:15:00,sell,2612.04,2617.7,2562.99,2617.7,-1,0.01,-5.66,3.31,pin_bar,zone,1H,resistance,2615.09,2612.97,3.0
2024-12-02 04:00:00,2024-12-06 01:00:00,buy,2629.43,2618.22,2660.52,2618.22,-1,0.01,-11.21,-7.9,pin_bar,zone,1H,support,2628.73,2620.84,5.0
