date,exit_date,side,entry,sl,tp,exit,outcome,lot,pnl,equity,pattern,tp_mode,zone_tf,zone_kind,zone_top,zone_bottom,zone_score
2024-07-25 03:00:00,2024-07-25 14:00:00,buy,2374.7,2358.4,2468.27,2358.4,-1,0.01,-16.3,133.7,pin_bar,zone,1D,support,2368.74,2360.76,5.0
2024-08-02 15:00:00,2024-08-05 00:00:00,buy,2433.07,2422.33,2468.27,2422.33,-1,0.01,-10.74,122.96,pin_bar,zone,4H,support,2431.95,2424.76,4.0
2024-10-23 15:00:00,2024-10-24 13:00:00,buy,2721.69,2711.46,2742.25,2742.25,1,0.01,20.56,143.52,pin_bar,fallback,4H,support,2719.85,2714.18,4.0
2024-10-25 10:00:00,2024-10-29 02:00:00,buy,2722.22,2705.9,2754.86,2754.86,1,0.01,32.64,176.16,pin_bar,fallback,4H,support,2721.73,2708.6,4.0
2024-12-13 15:00:00,2024-12-17 09:00:00,buy,2659.81,2641.03,2719.76,2641.03,-1,0.01,-18.78,157.37,pin_bar,zone,4H,support,2655.66,2643.67,4.0
