iter	Passed	Remaining
438	2319	322
439	2325	317
440	2329	311
441	2335	306
442	2340	301
443	2345	295
444	2351	290
445	2356	285
446	2361	280
447	2367	274
448	2373	269
449	2379	264
450	2384	259
451	2391	254
452	2397	248
453	2402	243
454	2406	238
455	2411	232
456	2416	227
457	2421	222
458	2426	216
459	2431	211
460	2436	206
461	2441	200
462	2446	195
463	2451	190
464	2456	184
465	2462	179
466	2468	174
467	2474	169
468	2479	163
469	2484	158
470	2489	153
471	2494	147
472	2498	142
473	2504	137
474	2509	132
475	2514	126
476	2519	121
477	2533	116
478	2538	111
479	2543	105
480	2548	100
481	2553	95
482	2558	90
483	2562	84
484	2568	79
485	2572	74
486	2576	68
487	2582	63
488	2587	58
489	2591	52
490	2596	47
491	2601	42
492	2607	37
493	2612	31
494	2618	26
495	2623	21
496	2628	15
497	2634	10
498	2639	5
499	2644	0
