iter	Accuracy	MultiClass
392	1	0.05425219876
393	1	0.05402177883
394	1	0.05383472969
395	1	0.05361935649
396	1	0.05345446148
397	1	0.05328837736
398	1	0.05304293777
399	1	0.05287121873
400	1	0.05269363468
401	1	0.05251681569
402	1	0.05226474775
403	1	0.05206615656
404	1	0.05181917614
405	1	0.05162648983
406	1	0.05141893208
407	1	0.05120954784
408	1	0.05103812715
409	1	0.05087130218
410	1	0.05069914475
411	1	0.05049974182
412	1	0.05040959975
413	1	0.0502281289
414	1	0.05003089167
415	1	0.04983330432
416	1	0.04966712165
417	1	0.04953713009
418	1	0.04937626297
419	1	0.04914975165
420	1	0.04895582735
421	1	0.04876984243
422	1	0.04859116692
423	1	0.04848076623
424	1	0.04833978814
425	1	0.04819518223
426	1	0.04797647551
427	1	0.04776664509
428	1	0.04762390798
429	1	0.04745461176
430	1	0.04728558727
431	1	0.04710531317
432	1	0.04688327926
433	1	0.0467643636
434	1	0.04661205153
435	1	0.04647135842
436	1	0.04630686752
437	1	0.04611995999
438	1	0.04592598278
439	1	0.04574380459
440	1	0.04561018408
441	1	0.04544446631
442	1	0.04526492643
443	1	0.04509750687
444	1	0.04496623783
445	1	0.0448266993
446	1	0.04466988343
447	1	0.04443620671
448	1	0.04429233158
449	1	0.04412195536
450	1	0.0439936027
451	1	0.04383880988
452	1	0.04376728148
453	1	0.04357973159
454	1	0.04345467687
455	1	0.04334313748
456	1	0.04324534581
457	1	0.04312346932
458	1	0.04287983998
459	1	0.04272135366
460	1	0.0426084311
461	1	0.04248322753
462	1	0.0423663439
463	1	0.04220088278
464	1	0.04208812326
465	1	0.04196040158
466	1	0.04181858564
467	1	0.04170295236
468	1	0.04157476048
469	1	0.04146157288
470	1	0.04127712009
471	1	0.04117234701
472	1	0.04105834711
473	1	0.04087430684
474	1	0.04078332029
475	1	0.04067953042
476	1	0.04055413249
477	1	0.0404679055
478	1	0.04033527978
479	1	0.0402093864
480	1	0.04003799292
481	1	0.03986512641
482	1	0.03966635885
483	1	0.0395310041
484	1	0.03941380835
485	1	0.03934418977
486	1	0.03919494755
487	1	0.03908829346
488	1	0.03895028533
489	1	0.03883587116
490	1	0.03871642121
491	1	0.0386363881
492	1	0.03847729474
493	1	0.03838202565
494	1	0.03826851416
495	1	0.03816493705
496	1	0.03805966235
497	1	0.03796632445
498	1	0.03785684696
499	1	0.03769215855
500	1	0.03758638197
501	1	0.03750110311
502	1	0.03742125493
503	1	0.03735497526
504	1	0.03725676052
505	1	0.03717225023
506	1	0.03706485563
507	1	0.03698367739
508	1	0.03689237913
509	1	0.0368107916
510	1	0.03672500693
511	1	0.03663405092
512	1	0.03655997768
513	1	0.03647028449
514	1	0.03635785717
515	1	0.03627529617
516	1	0.03622354257
517	1	0.0360674768
518	1	0.0359577129
519	1	0.03582914264
520	1	0.03576368894
521	1	0.0356368916
522	1	0.03555031237
523	1	0.03548565831
524	1	0.03540442156
525	1	0.03532001878
526	1	0.03519822391
527	1	0.03510349353
528	1	0.03496732566
529	1	0.0348298888
530	1	0.03471826802
531	1	0.03461614433
532	1	0.03454573398
533	1	0.03449244981
534	1	0.03437868594
535	1	0.03427553751
536	1	0.03420320534
537	1	0.03415240637
538	1	0.03402004421
539	1	0.0339304073
540	1	0.03374742333
541	1	0.03367498959
542	1	0.03356976211
543	1	0.03349746294
544	1	0.03342304245
545	1	0.03334887855
546	1	0.03324555918
547	1	0.03314467972
548	1	0.03306054956
549	1	0.03298554464
550	1	0.032858612
551	1	0.03276218384
552	1	0.03269958665
553	1	0.03263895599
554	1	0.03257511205
555	1	0.03254867251
556	1	0.03247813645
557	1	0.03241839644
558	1	0.03235894654
559	1	0.03227544386
560	1	0.03220395629
561	1	0.03212968305
562	1	0.0320150821
563	1	0.03192131944
564	1	0.03181257989
565	1	0.03172930154
566	1	0.03167717589
567	1	0.03164107638
568	1	0.03157836845
569	1	0.03149070029
570	1	0.03143461003
571	1	0.03137327922
572	1	0.03130145207
573	1	0.0312157018
574	1	0.03117693164
575	1	0.03108534773
576	1	0.03098608782
577	1	0.030915017
578	1	0.03086121222
579	1	0.03077545015
580	1	0.03071427996
581	1	0.03062594941
582	1	0.03056179684
583	1	0.03050301344
584	1	0.03034499623
585	1	0.03028781911
586	1	0.03022184548
587	1	0.03018653917
588	1	0.03011707532
589	1	0.03001502008
590	1	0.0299252702
591	1	0.02982821445
592	1	0.02976622672
593	1	0.02967682917
594	1	0.02960211276
595	1	0.02952400497
596	1	0.02944610363
597	1	0.02939910906
598	1	0.02933336674
599	1	0.02925249765
